"ÀREA	";"ÀREA_descripció";"UNITAT";"UNITAT_descripció";"DEPARTAMENT";"	DEPARTAMENT_descripció"
"1";"Alcaldia";"10";" Presidència";"100";" Presidència"
"1";"Alcaldia";"10";" Presidència";"101";"Porteria major, ordenances i neteja"
"1";"Alcaldia";"10";" Presidència";"102";"Oficina informació i atenció ciutadana"
"1";"Alcaldia";"11";"Defensor ciutadania";"110";" Oficina defensor ciutadania"
"1";"Alcaldia";"12";" Cultura";"120";" Cultura serveis centrals"
"1";"Alcaldia";"12";" Cultura";"121";"Humanitats i lectura"
"1";"Alcaldia";"12";" Cultura";"122";" Patrimoni i museus"
"1";"Alcaldia";"12";" Cultura";"123";"Arts escèniques"
"1";"Alcaldia";"12";" Cultura";"124";"Acció cultural"
"1";"Alcaldia";"12";" Cultura";"125";"Arts visuals i audiovisuals"
"1";"Alcaldia";"12";" Cultura";"126";"Arts musicals"
"1";"Alcaldia";"13";" Gestió documental, arxius i publicacions";"130";" Gestió documental, arxius i publicacions"
"1";"Alcaldia";"14";"Turisme";"140";"Turisme"
"2";"Ciutadania";"20";"Educació i esports";"200";"Educació"
"2";"Ciutadania";"20";"Educació i esports";"201";"Esports"
"2";"Ciutadania";"21";"Joventut i participació";"210";"Joventut"
"2";"Ciutadania";"21";"Joventut i participació";"211";"Participació"
"3";"Urbanisme";"30";"Urbanisme";"300";"Urbanisme"
"4";"Hisenda i serveis administratius";"40";" Hisenda";"400";" Gestió econòmica"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"410";" Administració general"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"411";"  Patrimoni"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"412";" Recursos humans"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"413";" Sistemes i tecnologies de la informació"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"414";"Registre"
"4";"Hisenda i serveis administratius";"41";" Règim interior";"415";"Secretaria Administrativa i estadísitica"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"420";"Sostenibilitat serveis centrals"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"421";"Serveis urbans i ambientals"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"422";"Paisatge i biodiversitat"
"4";"Hisenda i serveis administratius";"42";"Sostenibilitat";"423";"Qualitat ambiental i salubritat"
"5";"Servei a les persones";"50";"Serveis socials";"500";"Serveis socials gestió econòmica"
"5";"Servei a les persones";"50";"Serveis socials";"501";"Serveis socials atenció primària "
"5";"Servei a les persones";"50";"Serveis socials";"502";"Serveis socials programes especialitzats"
"5";"Servei a les persones";"50";"Serveis socials";"503";"Centres cívics"
"5";"Servei a les persones";"50";"Serveis socials";"504";"Habitatge"
"5";"Servei a les persones";"50";"Serveis socials";"505";"Serveis socials programes i memòries"
"5";"Servei a les persones";"51";"Salut i seguretat en el treball";"510";"Salut"
"5";"Servei a les persones";"51";" Serveis socials";"511";"Prevenció riscos laborals"
"6";"Promoció i ocupació";"60";"Promoció, empresa i comerç";"600";"Serveis centrals ocupació, empresa i comerç"
"6";"Promoció i ocupació";"60";"Promoció, empresa i comerç";"601";"Ocupació"
"6";"Promoció i ocupació";"60";"Promoció, empresa i comerç";"602";"Empresa"
"6";"Promoció i ocupació";"60";"Promoció, empresa i comerç";"603";"Comerç"
"7";"Seguretat, mobilitat i via pública";"70";"Seguretat";"700";"Seguretat"
"7";"Seguretat, mobilitat i via pública";"71";"Mobilitat i via pública";"710";"Mobilitat i via pública"
