Municipios;Sexo;Periodo;Total
17079 Girona;Total;2022;102.666
17079 Girona;Total;2021;101.932
17079 Girona;Total;2020;103.369
17079 Girona;Total;2019;101.852
17079 Girona;Total;2018;100.266
17079 Girona;Total;2017;99.013
17079 Girona;Total;2016;98.255
17079 Girona;Total;2015;97.586
17079 Girona;Total;2014;97.227
17079 Girona;Total;2013;97.292
17079 Girona;Total;2012;97.198
17079 Girona;Total;2011;96.722
17079 Girona;Total;2010;96.236
17079 Girona;Total;2009;96.188
17079 Girona;Total;2008;94.484
17079 Girona;Total;2007;92.186
17079 Girona;Total;2006;89.890
17079 Girona;Total;2005;86.672
17079 Girona;Total;2004;83.531
17079 Girona;Total;2003;81.220
17079 Girona;Total;2002;77.475
17079 Girona;Total;2001;75.256
17079 Girona;Total;2000;73.637
17079 Girona;Total;1999;72.682
17079 Girona;Total;1998;71.858
17079 Girona;Total;1997;""
17079 Girona;Total;1996;70.576
